dx,severity,issbr
S15092A,2,Head/Neck
S15099A,2,Head/Neck
S15101A,3,Head/Neck
S15102A,3,Head/Neck
S15109A,3,Head/Neck
S15111A,3,Head/Neck
S15112A,3,Head/Neck
S15119A,3,Head/Neck
S15121A,3,Head/Neck
S15122A,3,Head/Neck
S15129A,3,Head/Neck
S15191A,3,Head/Neck
S15192A,3,Head/Neck
S15199A,3,Head/Neck
S15201A,1,Head/Neck
S15202A,1,Head/Neck
S15209A,1,Head/Neck
S15211A,1,Head/Neck
S15212A,1,Head/Neck
S15219A,1,Head/Neck
S15221A,1,Head/Neck
S15222A,1,Head/Neck
S15229A,1,Head/Neck
S15291A,1,Head/Neck
S15292A,1,Head/Neck
S15299A,1,Head/Neck
S15301A,3,Head/Neck
S15302A,3,Head/Neck
S15309A,3,Head/Neck
S15311A,3,Head/Neck
S15312A,3,Head/Neck
S15319A,3,Head/Neck
S15321A,3,Head/Neck
S15322A,3,Head/Neck
S15329A,3,Head/Neck
S15391A,3,Head/Neck
S15392A,3,Head/Neck
S15399A,3,Head/Neck
S158XXA,3,Head/Neck
S159XXA,4,Head/Neck
S161XXA,1,Head/Neck
S162XXA,1,General
S168XXA,1,Face
S169XXA,1,Face
S170XXA,2,Head/Neck
S178XXA,2,Head/Neck
S179XXA,2,Head/Neck
S1980XA,1,Face
S1981XA,1,Face
S1982XA,1,Face
S1983XA,1,Face
S1984XA,1,Face
S1985XA,1,Face
S1989XA,1,Face
S199XXA,1,Face
S2000XA,1,General
S2001XA,1,General
S2002XA,1,General
S20101A,1,General
S20102A,1,General
S20109A,1,General
S20111A,1,General
S20112A,1,General
S20119A,1,General
S20121A,1,General
S20122A,1,General
S20129A,1,General
S20141A,1,General
S20142A,1,General
S20149A,1,General
S20151A,1,General
S20152A,1,General
S20159A,1,General
S20161A,1,General
S20162A,1,General
S20169A,1,General
S20171A,1,General
S20172A,1,General
S20179A,1,General
S2020XA,1,Abdomen
S20211A,1,Chest
S20212A,1,Chest
S20219A,1,Chest
S20221A,1,General
S20222A,1,General
S20229A,1,General
S20301A,1,General
S20302A,1,General
S20309A,1,General
S20311A,1,General
S20312A,1,General
S20319A,1,General
S20321A,1,General
S20322A,1,General
S20329A,1,General
S20341A,1,General
S20342A,1,General
S20349A,1,General
S20351A,1,General
S20352A,1,General
S20359A,1,General
S20361A,1,General
S20362A,1,General
S20369A,1,General
S20371A,1,General
S20372A,1,General
S20379A,1,General
S20401A,1,General
S20402A,1,General
S20409A,1,General
S20411A,1,General
S20412A,1,General
S20419A,1,General
S20421A,1,General
S20422A,1,General
S20429A,1,General
S20441A,1,General
S20442A,1,General
S20449A,1,General
S20451A,1,General
S20452A,1,General
S20459A,1,General
S20461A,1,General
S20462A,1,General
S20469A,1,General
S20471A,1,General
S20472A,1,General
S20479A,1,General
S2090XA,1,General
S2091XA,1,General
S2092XA,1,General
S2094XA,1,General
S2095XA,1,General
S2096XA,1,General
S2097XA,1,General
S21001A,1,General
S21002A,1,General
S21009A,1,General
S21011A,1,General
S21012A,1,General
S21019A,1,General
S21021A,2,General
S21022A,2,General
S21029A,2,General
S21031A,1,General
S21032A,1,General
S21039A,1,General
S21041A,2,General
S21042A,2,General
S21049A,2,General
S21051A,1,General
S21052A,1,General
S21059A,1,General
S21101A,1,Chest
S21102A,1,Chest
S21109A,1,Chest
S21111A,1,Chest
S21112A,1,Chest
S21119A,1,Chest
S21121A,1,General
S21122A,1,General
S21129A,1,General
S21131A,1,Chest
S21132A,1,Chest
S21139A,1,Chest
S21141A,1,General
S21142A,1,General
S21149A,1,General
S21151A,1,Chest
S21152A,1,Chest
S21159A,1,Chest
S21201A,1,Chest
S21202A,1,Chest
S21209A,1,Chest
S21211A,1,Chest
S21212A,1,Chest
S21219A,1,Chest
S21221A,1,General
S21222A,1,General
S21229A,1,General
S21231A,1,Chest
S21232A,1,Chest
S21239A,1,Chest
S21241A,1,General
S21242A,1,General
S21249A,1,General
S21251A,1,Chest
S21252A,1,Chest
S21259A,1,Chest
S21301A,3,Chest
S21302A,3,Chest
S21309A,3,Chest
S21311A,3,Chest
S21312A,3,Chest
S21319A,3,Chest
S21321A,3,Chest
S21322A,3,Chest
S21329A,3,Chest
S21331A,3,Chest
S21332A,3,Chest
S21339A,3,Chest
S21341A,3,Chest
S21342A,3,Chest
S21349A,3,Chest
S21351A,3,Chest
S21352A,3,Chest
S21359A,3,Chest
S21401A,3,Chest
S21402A,3,Chest
