i10,severity,issbr
S21141A,1,6.0
S21142A,1,6.0
S21149A,1,6.0
S21151A,1,3.0
S21152A,1,3.0
S21159A,1,3.0
S21201A,1,3.0
S21202A,1,3.0
S21209A,1,3.0
S21211A,1,3.0
S21212A,1,3.0
S21219A,1,3.0
S21221A,1,6.0
S21222A,1,6.0
S21229A,1,6.0
S21231A,1,3.0
S21232A,1,3.0
S21239A,1,3.0
S21241A,1,6.0
S21242A,1,6.0
S21249A,1,6.0
S21251A,1,3.0
S21252A,1,3.0
S21259A,1,3.0
S21301A,3,3.0
S21302A,3,3.0
S21309A,3,3.0
S21311A,3,3.0
S21312A,3,3.0
S21319A,3,3.0
S21321A,3,3.0
S21322A,3,3.0
S21329A,3,3.0
S21331A,3,3.0
S21332A,3,3.0
S21339A,3,3.0
S21341A,3,3.0
S21342A,3,3.0
S21349A,3,3.0
S21351A,3,3.0
S21352A,3,3.0
S21359A,3,3.0
S21401A,3,3.0
S21402A,3,3.0
S21409A,3,3.0
S21411A,3,3.0
S21412A,3,3.0
S21419A,3,3.0
S21421A,3,3.0
S21422A,3,3.0
S21429A,3,3.0
S21431A,3,3.0
S21432A,3,3.0
S21439A,3,3.0
S21441A,3,3.0
S21442A,3,3.0
S21449A,3,3.0
S21451A,3,3.0
S21452A,3,3.0
S21459A,3,3.0
S2190XA,1,3.0
S2191XA,1,3.0
S2192XA,1,6.0
S2193XA,1,3.0
S2194XA,1,6.0
S2195XA,1,3.0
S22000A,2,3.0
S22000B,2,3.0
S22001A,2,3.0
S22001B,2,3.0
S22002A,2,3.0
S22002B,2,3.0
S22008A,2,3.0
S22008B,2,3.0
S22009A,2,3.0
S22009B,2,3.0
S22010A,2,3.0
S22010B,2,3.0
S22011A,2,3.0
S22011B,2,3.0
S22012A,2,3.0
S22012B,2,3.0
S22018A,2,3.0
S22018B,2,3.0
S22019A,2,3.0
S22019B,2,3.0
S22020A,2,3.0
S22020B,2,3.0
S22021A,2,3.0
S22021B,2,3.0
S22022A,2,3.0
S22022B,2,3.0
S22028A,2,3.0
S22028B,2,3.0
S22029A,2,3.0
S22029B,2,3.0
S22030A,2,3.0
S22030B,2,3.0
S22031A,2,3.0
S22031B,2,3.0
S22032A,2,3.0
S22032B,2,3.0
S22038A,2,3.0
S22038B,2,3.0
S22039A,2,3.0
S22039B,2,3.0
S22040A,2,3.0
S22040B,2,3.0
S22041A,2,3.0
S22041B,2,3.0
S22042A,2,3.0
S22042B,2,3.0
S22048A,2,3.0
S22048B,2,3.0
S22049A,2,3.0
S22049B,2,3.0
S22050A,2,3.0
S22050B,2,3.0
S22051A,2,3.0
S22051B,2,3.0
S22052A,2,3.0
S22052B,2,3.0
S22058A,2,3.0
S22058B,2,3.0
S22059A,2,3.0
S22059B,2,3.0
S22060A,2,3.0
S22060B,2,3.0
S22061A,2,3.0
S22061B,2,3.0
S22062A,2,3.0
S22062B,2,3.0
S22068A,2,3.0
S22068B,2,3.0
S22069A,2,3.0
S22069B,2,3.0
S22070A,2,3.0
S22070B,2,3.0
S22071A,2,3.0
S22071B,2,3.0
S22072A,2,3.0
S22072B,2,3.0
S22078A,2,3.0
S22078B,2,3.0
S22079A,2,3.0
S22079B,2,3.0
S22080A,2,3.0
S22080B,2,3.0
S22081A,2,3.0
S22081B,2,3.0
S22082A,2,3.0
